iter	RMSE
0	21900.90955
1	21721.10378
2	21545.17611
3	21368.53268
4	21194.89018
5	21023.2803
6	20867.44077
7	20698.71373
8	20530.07277
9	20377.84844
10	20213.68434
11	20063.58582
12	19915.49828
13	19767.56556
14	19622.64922
15	19477.31249
16	19334.91607
17	19192.86504
18	19052.81978
19	18913.96038
20	18763.19392
21	18625.95192
22	18477.47885
23	18343.49804
24	18197.72645
25	18055.11299
26	17911.83537
27	17769.86446
28	17629.82535
29	17502.24135
30	17376.25353
31	17240.18792
32	17115.50222
33	16992.66366
34	16870.76608
35	16750.23691
36	16631.047
37	16512.99163
38	16394.91785
39	16267.33532
40	16147.94849
41	16023.9772
42	15910.86594
43	15798.49663
44	15686.66046
45	15576.46987
46	15466.93366
47	15358.07546
48	15250.68991
49	15144.28201
50	15038.92047
51	14933.64575
52	14829.62575
53	14727.26871
54	14627.0039
55	14522.97675
56	14421.74549
57	14323.02356
58	14216.2892
59	14118.62123
60	14021.79846
61	13926.2794
62	13831.14818
63	13736.53216
64	13643.63601
65	13549.75227
66	13457.67399
67	13363.51108
68	13272.29402
69	13182.25124
70	13094.21306
71	13006.49683
72	12919.94411
73	12834.33122
74	12754.15714
75	12669.40839
76	12583.22695
77	12493.67048
78	12411.74587
79	12329.72082
80	12249.41206
81	12169.12635
82	12095.34792
83	12017.52331
84	11938.14926
85	11860.91687
86	11789.77952
87	11719.12962
88	11642.66803
89	11566.2357
90	11486.32907
91	11410.94994
92	11338.02768
93	11266.38718
94	11200.13742
95	11134.91213
96	11064.64232
97	10995.01425
98	10920.80438
99	10857.57136
100	10792.82534
101	10731.18011
102	10665.18878
103	10605.56953
104	10539.56593
105	10472.78624
106	10409.51344
107	10344.90695
108	10288.39048
109	10224.87777
110	10162.12265
111	10105.16634
112	10048.67986
113	9989.023825
114	9933.596072
115	9878.128473
