iter	Passed	Remaining
0	7	895
1	15	877
2	22	844
3	30	844
4	37	826
5	44	822
6	52	813
7	59	809
8	66	794
9	73	783
10	81	777
11	88	764
12	95	759
13	103	750
14	110	746
15	118	737
16	125	729
17	132	720
18	139	711
19	146	705
20	154	697
21	161	692
22	168	682
23	177	678
24	184	670
25	191	664
26	198	655
27	207	650
28	213	641
29	221	635
30	229	628
31	236	621
32	243	613
33	251	605
34	258	598
35	266	591
36	273	584
37	280	575
38	288	568
39	295	560
40	302	553
41	309	545
42	317	538
43	324	530
44	331	522
45	338	515
46	346	508
47	354	501
48	361	493
49	368	486
50	376	479
51	385	474
52	410	487
53	425	489
54	435	482
55	446	477
56	459	475
57	474	474
58	488	472
59	501	467
60	512	462
61	522	454
62	532	448
63	543	441
64	553	434
65	566	428
66	576	421
67	586	414
68	595	405
69	604	397
70	614	389
71	625	382
72	633	373
73	643	365
74	652	356
75	663	349
76	674	341
77	685	333
78	696	326
79	706	317
80	715	308
81	725	300
82	734	291
83	743	283
84	751	273
85	759	264
86	766	255
87	774	246
88	782	237
89	789	228
90	797	219
91	805	210
92	812	201
93	821	192
94	828	183
95	836	174
96	843	165
97	851	156
98	858	147
99	865	138
100	873	129
101	880	120
102	888	112
103	895	103
104	904	94
105	911	85
106	919	77
107	926	68
108	934	60
109	941	51
110	949	42
111	956	34
112	964	25
113	971	17
114	978	8
115	986	0
