iter	MultiClass
0	1.762169671
1	1.737886344
2	1.71716509
3	1.700503182
4	1.687568196
5	1.67510857
6	1.666063242
7	1.658280621
8	1.651345534
9	1.64546352
10	1.640630261
11	1.635794351
12	1.631991434
13	1.627955291
14	1.624882817
15	1.622668345
16	1.620301152
17	1.618197144
18	1.616034097
19	1.614346429
20	1.612623086
21	1.61175889
22	1.610052108
23	1.608255131
24	1.606526544
25	1.60558064
26	1.604481159
27	1.603487627
28	1.60221924
29	1.601575253
30	1.600913001
31	1.60031076
32	1.599839737
33	1.599210825
34	1.598350879
35	1.597655321
36	1.596883091
37	1.596459428
38	1.595698668
39	1.595238472
40	1.59471636
41	1.594374837
42	1.593675826
43	1.593023683
44	1.59259283
45	1.592121938
46	1.591757375
47	1.591220423
48	1.590873338
49	1.590469971
50	1.589923624
51	1.589534798
52	1.589302641
53	1.588823919
54	1.588563632
55	1.588310557
56	1.587851555
57	1.587415083
58	1.587083096
59	1.586851251
60	1.586567911
61	1.586221757
62	1.585955168
63	1.585762109
64	1.585503501
65	1.585202735
66	1.584919579
67	1.584651161
68	1.584357889
69	1.584128741
70	1.583829751
71	1.583578534
72	1.583372003
73	1.582972918
74	1.582620405
75	1.582439697
76	1.58222649
77	1.582089563
78	1.581876246
79	1.581631621
80	1.58140724
81	1.581284405
82	1.581091119
83	1.580910094
84	1.580550089
85	1.580368951
86	1.580185864
87	1.579981637
88	1.579657125
89	1.57951185
90	1.579358221
91	1.579182331
92	1.579168741
93	1.578948223
94	1.578775814
95	1.578574741
96	1.578360459
97	1.578133595
98	1.577757993
99	1.577601448
100	1.577437976
101	1.577332145
102	1.577017154
103	1.576844452
104	1.576604182
105	1.576515541
106	1.576354957
107	1.57613398
108	1.575924118
109	1.575798975
110	1.57550637
111	1.575308878
112	1.575136678
113	1.574983914
114	1.574838805
115	1.574661332
116	1.574506675
117	1.574285437
118	1.57412841
119	1.573814307
120	1.573442855
121	1.573383965
122	1.573161083
123	1.572960141
124	1.572763672
125	1.572555706
126	1.572343807
127	1.57219656
128	1.572032728
129	1.571849877
130	1.571629962
131	1.571355374
132	1.571252527
133	1.571034827
134	1.57088702
135	1.570681272
136	1.570516349
137	1.570369187
138	1.570176911
139	1.570027942
140	1.569874093
141	1.56968529
142	1.569391959
143	1.569068858
144	1.568909158
145	1.568700533
146	1.568417952
147	1.568274657
148	1.567885333
149	1.567696884
150	1.567585491
151	1.567403878
152	1.567218225
153	1.567028412
154	1.566768216
155	1.566544525
156	1.566367655
157	1.566142097
158	1.565985081
159	1.565756225
160	1.565649488
161	1.565424039
162	1.56525507
163	1.565091651
164	1.564941787
165	1.564795156
166	1.56462634
167	1.564409976
168	1.564258376
169	1.564129912
170	1.563984265
171	1.563923063
172	1.563806731
173	1.56355868
174	1.563351607
175	1.563204674
176	1.563027724
177	1.562830136
178	1.562547505
179	1.562385958
180	1.562275106
181	1.562172473
182	1.562008013
183	1.561897709
184	1.561769408
185	1.561614462
186	1.561387289
187	1.561308659
188	1.561212411
189	1.561020943
190	1.560910113
191	1.560702623
192	1.560572585
193	1.560344674
194	1.560232552
195	1.560148299
196	1.560014776
197	1.559776111
198	1.559621916
199	1.559490417
200	1.55944414
201	1.559278827
202	1.559125179
203	1.558982137
204	1.558715695
205	1.55852398
206	1.558396132
207	1.558111989
208	1.557886378
209	1.557687017
210	1.557538804
211	1.557449226
212	1.557314488
213	1.557164001
214	1.5570644
215	1.556877304
216	1.556582486
217	1.556502847
218	1.556424944
219	1.55629434
220	1.556168728
221	1.555966993
222	1.555892113
223	1.555703368
224	1.55556565
225	1.555472742
226	1.555350199
227	1.555242786
228	1.555123886
229	1.554990672
230	1.554813664
231	1.55461536
232	1.554427748
233	1.554256519
234	1.554108013
235	1.553938893
236	1.553862031
237	1.553809523
238	1.553564024
239	1.5534313
240	1.553359522
241	1.553202247
242	1.552951397
243	1.552831691
244	1.552734631
245	1.5526646
246	1.552579815
247	1.552510669
248	1.552310641
249	1.552111647
250	1.55197041
251	1.551754125
252	1.551612882
253	1.551434113
254	1.551266211
255	1.551139288
256	1.551059089
257	1.55098984
258	1.550781622
259	1.550646672
260	1.550504374
261	1.550369219
262	1.550310436
263	1.550097205
264	1.54997438
265	1.549779612
266	1.549548082
267	1.549384486
268	1.549197771
269	1.549076946
270	1.548944356
271	1.548834228
272	1.548723103
273	1.548553404
274	1.548367048
275	1.548146359
276	1.547989222
277	1.547851456
278	1.547746414
279	1.547606393
280	1.547442127
281	1.547312154
282	1.547241856
283	1.547060652
284	1.546975269
285	1.546767775
286	1.546700256
287	1.546562331
288	1.546355631
289	1.546159429
290	1.546035958
291	1.545916767
292	1.545753666
293	1.54553692
294	1.545321136
295	1.545252729
296	1.545067329
297	1.544968644
298	1.544827286
299	1.544662053
300	1.544577083
301	1.544461386
302	1.544340063
303	1.544249465
304	1.544086154
305	1.54400783
306	1.54394195
307	1.543803097
308	1.543717871
309	1.543575996
310	1.543470588
311	1.543336354
312	1.543172994
313	1.54300549
314	1.542922633
315	1.542761474
316	1.542641305
317	1.542569696
318	1.542479591
319	1.542390177
320	1.542292746
321	1.542176721
322	1.542097813
323	1.542011973
324	1.541847271
325	1.541741264
326	1.541613127
327	1.541472939
328	1.541203312
329	1.540993597
330	1.540896044
331	1.540760032
332	1.540665176
333	1.5404634
334	1.540333621
335	1.540225823
336	1.540151698
337	1.540079338
338	1.539892466
339	1.539755539
340	1.539679354
341	1.539537966
342	1.53939596
343	1.539313282
344	1.539216258
345	1.539000796
346	1.538819537
347	1.538760399
348	1.538621232
349	1.538459946
350	1.538367712
351	1.538165382
352	1.538064151
353	1.537812549
354	1.537704796
355	1.537529987
356	1.537430823
357	1.537298936
358	1.537148684
359	1.537094531
360	1.536986489
361	1.536856859
362	1.536741149
363	1.536620185
364	1.536534593
365	1.536332853
366	1.536159097
367	1.536021722
368	1.535868019
369	1.535715475
370	1.535648312
371	1.535495701
372	1.53539856
373	1.535314344
374	1.535145531
375	1.535034327
376	1.534834773
377	1.534728714
378	1.534638631
379	1.534483882
380	1.534318121
381	1.534207034
382	1.534115806
383	1.5339722
384	1.533839439
385	1.533729717
386	1.533573363
387	1.533519503
388	1.533400689
389	1.53325142
390	1.533144972
391	1.533050285
392	1.532872522
393	1.532773049
394	1.532663218
395	1.53258401
396	1.532490397
397	1.532339959
398	1.53219917
399	1.532045402
400	1.531960113
401	1.531847247
402	1.531709495
403	1.531576163
404	1.531477683
405	1.531367983
406	1.531251102
407	1.531136632
408	1.531034502
409	1.530915553
410	1.530757622
411	1.530688438
412	1.530604245
413	1.530423979
414	1.530271747
415	1.53007496
416	1.529895057
417	1.529746907
418	1.529655687
419	1.529566367
420	1.529436532
421	1.529339174
422	1.52923343
423	1.529107575
424	1.528934798
425	1.528726348
426	1.528633666
427	1.528522473
428	1.528348394
429	1.52820215
430	1.528060082
431	1.527979393
432	1.527797909
433	1.527692875
434	1.527617502
435	1.527472824
436	1.527334989
437	1.527253562
438	1.527167912
439	1.52704964
440	1.52693812
441	1.526846342
442	1.526723437
443	1.526597112
444	1.52649757
445	1.526341214
446	1.526225723
447	1.526081542
448	1.526001458
449	1.525877666
450	1.525717954
451	1.525614354
452	1.525498795
453	1.525397474
454	1.525292328
455	1.525126731
456	1.524987121
457	1.524890935
458	1.524758694
459	1.524626545
460	1.524530091
461	1.524398215
462	1.52431913
463	1.52421735
464	1.524092021
465	1.524018206
466	1.523913645
467	1.523844499
468	1.523738928
469	1.523580581
470	1.523500197
471	1.523397764
472	1.523273945
473	1.523194521
474	1.523102657
475	1.522999821
476	1.522925928
477	1.522772031
478	1.522665558
479	1.522544721
480	1.52240085
481	1.522224003
482	1.522038384
483	1.521950287
484	1.521840351
485	1.521734015
486	1.521574816
487	1.521470504
488	1.521335699
489	1.521196398
490	1.521035018
491	1.520911777
492	1.520788882
493	1.52057751
494	1.52046366
495	1.520366831
496	1.520272411
497	1.520160088
498	1.520102939
499	1.519986409
500	1.519876277
501	1.519767091
502	1.519676368
503	1.519569904
504	1.51949175
505	1.519404576
506	1.519268683
507	1.51914918
508	1.519068382
509	1.518974039
510	1.518871723
511	1.518748494
512	1.518625384
513	1.518427422
514	1.518308252
515	1.518155975
516	1.518040537
517	1.51791157
518	1.517820191
519	1.517679346
520	1.517536768
521	1.517483241
522	1.517357954
523	1.517275878
524	1.517156532
525	1.51705055
526	1.516935108
527	1.516810096
528	1.516692581
529	1.516613528
530	1.516515629
531	1.516434415
532	1.51636364
533	1.516267087
534	1.516198513
535	1.516053031
536	1.515906236
537	1.515764038
538	1.515654
539	1.515575351
540	1.515410997
541	1.515234205
542	1.515144761
543	1.515045627
544	1.514962916
545	1.514868089
546	1.51477998
547	1.514671606
548	1.514603512
549	1.51449997
550	1.514421596
551	1.514261641
552	1.514130047
553	1.514040207
554	1.513953984
555	1.513790884
556	1.513718531
557	1.513599856
