iter	Passed	Remaining
0	6	633
1	12	625
2	18	634
3	24	605
4	30	606
5	35	585
6	41	568
7	47	575
8	53	563
9	59	561
10	66	562
11	72	554
12	78	551
13	84	545
14	90	535
15	98	541
16	104	533
17	111	532
18	117	524
19	122	516
20	129	513
21	135	506
22	142	503
23	148	496
24	154	488
25	161	483
26	166	476
27	173	470
28	178	462
29	184	455
30	191	451
31	198	445
32	203	438
33	210	434
34	216	426
35	223	421
36	230	416
37	236	411
38	244	407
39	253	405
40	262	402
41	272	401
42	279	396
43	286	390
44	293	384
45	298	376
46	305	370
47	311	362
48	317	355
49	323	348
50	328	341
51	334	334
52	341	328
53	347	321
54	353	315
55	359	307
56	365	301
57	370	293
58	376	287
59	382	280
60	388	274
61	395	267
62	402	262
63	408	255
64	414	248
65	420	241
66	425	235
67	432	228
68	439	222
69	445	216
70	452	210
71	458	203
72	466	198
73	472	191
74	478	184
75	483	178
76	489	171
77	495	165
78	501	158
79	506	152
80	512	145
81	518	138
82	523	132
83	529	126
84	535	119
85	541	113
86	547	107
87	553	100
88	559	94
89	565	87
90	571	81
91	577	75
92	582	68
93	588	62
94	594	56
95	599	49
96	605	43
97	611	37
98	618	31
99	624	24
100	630	18
101	637	12
102	645	6
103	652	0
