date,order_id,company,company_region,product_id,product,customer_id,product_category01,product_category02,product_category03,quantity,unit,price_per_case,total_sales,year,month,month_name,day,day_name
2021-01-01,6141309,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,224,case,41,9184,2021,1,January,1,Friday
2021-01-01,6377268,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,396,case,46,18216,2021,1,January,1,Friday
2021-01-01,6377268,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,148,case,45,6660,2021,1,January,1,Friday
2021-01-01,6191867,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,150,case,41,6150,2021,1,January,1,Friday
2021-01-01,6191867,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,294,case,49,14406,2021,1,January,1,Friday
2021-01-01,6377268,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,145,case,41,5945,2021,1,January,1,Friday
2021-01-01,6141309,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,630,case,45,28350,2021,1,January,1,Friday
2021-01-01,6191867,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,158,case,46,7268,2021,1,January,1,Friday
2021-01-02,6223502,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,265,case,42,11130,2021,1,January,2,Saturday
2021-01-02,6223502,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,190,case,46,8740,2021,1,January,2,Saturday
2021-01-02,6734039,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,57,case,48,2736,2021,1,January,2,Saturday
2021-01-02,6734039,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,140,case,42,5880,2021,1,January,2,Saturday
2021-01-02,6734039,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,277,case,48,13296,2021,1,January,2,Saturday
2021-01-02,6722757,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,705,case,42,29610,2021,1,January,2,Saturday
2021-01-03,6568928,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,117,case,49,5733,2021,1,January,3,Sunday
2021-01-03,6568928,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,424,case,41,17384,2021,1,January,3,Sunday
2021-01-03,6568928,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,201,case,40,8040,2021,1,January,3,Sunday
2021-01-03,6254235,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,209,case,39,8151,2021,1,January,3,Sunday
2021-01-03,6426807,121,South,11177,AVO32ORG0,KQFVN,32,ORG,0,230,case,39,8970,2021,1,January,3,Sunday
2021-01-03,6272277,131,North,11501,AVO32CNV1,APXSV,32,CNV,1,247,case,39,9633,2021,1,January,3,Sunday
2021-01-03,6272277,131,North,11385,AVO48CNV2,APXSV,48,CNV,2,186,case,39,7254,2021,1,January,3,Sunday
2021-01-03,6272277,131,North,11541,AVO60CNV1,APXSV,60,CNV,1,277,case,40,11080,2021,1,January,3,Sunday
2021-01-03,6923563,131,South,11501,AVO32CNV1,YEXWZ,32,CNV,1,242,case,39,9438,2021,1,January,3,Sunday
2021-01-03,6923563,131,South,11385,AVO48CNV2,YEXWZ,48,CNV,2,119,case,39,4641,2021,1,January,3,Sunday
2021-01-03,6923563,131,South,11931,AVO48CNV1,YEXWZ,48,CNV,1,175,case,41,7175,2021,1,January,3,Sunday
2021-01-03,6313492,131,South,11501,AVO32CNV1,SGTJP,32,CNV,1,99,case,39,3861,2021,1,January,3,Sunday
2021-01-03,6313492,131,South,11829,AVO32CNV2,SGTJP,32,CNV,2,98,case,49,4802,2021,1,January,3,Sunday
2021-01-03,6313492,131,South,11385,AVO48CNV2,SGTJP,48,CNV,2,89,case,39,3471,2021,1,January,3,Sunday
2021-01-03,6272277,131,North,11829,AVO32CNV2,APXSV,32,CNV,2,125,case,49,6125,2021,1,January,3,Sunday
2021-01-03,6254235,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,219,case,50,10950,2021,1,January,3,Sunday
2021-01-03,6861398,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,595,case,41,24395,2021,1,January,3,Sunday
2021-01-04,6995579,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,175,case,46,8050,2021,1,January,4,Monday
2021-01-04,6995579,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,183,case,41,7503,2021,1,January,4,Monday
2021-01-04,6995579,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,208,case,39,8112,2021,1,January,4,Monday
2021-01-04,6553733,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,683,case,49,33467,2021,1,January,4,Monday
2021-01-04,6553733,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,307,case,46,14122,2021,1,January,4,Monday
2021-01-04,6586990,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,329,case,49,16121,2021,1,January,4,Monday
2021-01-04,6586990,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,387,case,45,17415,2021,1,January,4,Monday
2021-01-04,6586990,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,123,case,46,5658,2021,1,January,4,Monday
2021-01-05,6907917,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,441,case,35,15435,2021,1,January,5,Tuesday
2021-01-05,6359381,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,160,case,40,6400,2021,1,January,5,Tuesday
2021-01-05,6359381,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,215,case,48,10320,2021,1,January,5,Tuesday
2021-01-05,6359381,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,155,case,37,5735,2021,1,January,5,Tuesday
2021-01-05,6907917,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,374,case,47,17578,2021,1,January,5,Tuesday
2021-01-05,6610801,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,273,case,37,10101,2021,1,January,5,Tuesday
2021-01-05,6610801,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,553,case,35,19355,2021,1,January,5,Tuesday
2021-01-05,6907917,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,124,case,37,4588,2021,1,January,5,Tuesday
2021-01-06,6344100,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,323,case,38,12274,2021,1,January,6,Wednesday
2021-01-06,6294021,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,192,case,43,8256,2021,1,January,6,Wednesday
2021-01-06,6722436,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,528,case,46,24288,2021,1,January,6,Wednesday
2021-01-06,6722436,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,213,case,48,10224,2021,1,January,6,Wednesday
2021-01-06,6344100,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,409,case,46,18814,2021,1,January,6,Wednesday
2021-01-06,6344100,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,108,case,48,5184,2021,1,January,6,Wednesday
2021-01-06,6294021,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,122,case,48,5856,2021,1,January,6,Wednesday
2021-01-06,6294021,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,248,case,47,11656,2021,1,January,6,Wednesday
2021-01-07,6715735,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,306,case,44,13464,2021,1,January,7,Thursday
2021-01-07,6715735,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,212,case,44,9328,2021,1,January,7,Thursday
2021-01-07,6715735,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,142,case,47,6674,2021,1,January,7,Thursday
2021-01-07,6507472,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,269,case,47,12643,2021,1,January,7,Thursday
2021-01-07,6507472,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,570,case,40,22800,2021,1,January,7,Thursday
2021-01-07,6799919,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,133,case,47,6251,2021,1,January,7,Thursday
2021-01-07,6799919,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,301,case,40,12040,2021,1,January,7,Thursday
2021-01-07,6799919,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,347,case,46,15962,2021,1,January,7,Thursday
2021-01-08,6945487,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,270,case,43,11610,2021,1,January,8,Friday
2021-01-08,6216170,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,190,case,43,8170,2021,1,January,8,Friday
2021-01-08,6216170,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,305,case,40,12200,2021,1,January,8,Friday
2021-01-08,6216170,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,213,case,43,9159,2021,1,January,8,Friday
2021-01-08,6945487,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,637,case,50,31850,2021,1,January,8,Friday
2021-01-08,6747931,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,313,case,50,15650,2021,1,January,8,Friday
2021-01-08,6747931,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,230,case,40,9200,2021,1,January,8,Friday
2021-01-08,6747931,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,136,case,43,5848,2021,1,January,8,Friday
2021-01-09,6935315,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,605,case,36,21780,2021,1,January,9,Saturday
2021-01-09,6818798,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,198,case,43,8514,2021,1,January,9,Saturday
2021-01-09,6818798,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,303,case,41,12423,2021,1,January,9,Saturday
2021-01-09,6531957,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,90,case,50,4500,2021,1,January,9,Saturday
2021-01-09,6531957,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,350,case,44,15400,2021,1,January,9,Saturday
2021-01-09,6531957,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,466,case,36,16776,2021,1,January,9,Saturday
2021-01-10,6892427,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,395,case,36,14220,2021,1,January,10,Sunday
2021-01-10,6892427,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,248,case,42,10416,2021,1,January,10,Sunday
2021-01-10,6582714,131,North,11931,AVO48CNV1,HYAMN,48,CNV,1,160,case,36,5760,2021,1,January,10,Sunday
2021-01-10,6582714,131,North,11829,AVO32CNV2,HYAMN,32,CNV,2,107,case,36,3852,2021,1,January,10,Sunday
2021-01-10,6485367,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,204,case,46,9384,2021,1,January,10,Sunday
2021-01-10,6485367,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,298,case,48,14304,2021,1,January,10,Sunday
2021-01-10,6199551,121,South,11133,AVO60CNV2,WLEYX,60,CNV,2,177,case,35,6195,2021,1,January,10,Sunday
2021-01-10,6892427,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,89,case,36,3204,2021,1,January,10,Sunday
2021-01-10,6500888,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,640,case,36,23040,2021,1,January,10,Sunday
2021-01-11,6494022,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,271,case,36,9756,2021,1,January,11,Monday
2021-01-11,6185077,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,359,case,40,14360,2021,1,January,11,Monday
2021-01-11,6185077,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,113,case,36,4068,2021,1,January,11,Monday
2021-01-11,6459260,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,124,case,36,4464,2021,1,January,11,Monday
2021-01-11,6459260,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,285,case,38,10830,2021,1,January,11,Monday
2021-01-11,6459260,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,155,case,42,6510,2021,1,January,11,Monday
2021-01-11,6494022,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,518,case,46,23828,2021,1,January,11,Monday
2021-01-11,6185077,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,209,case,46,9614,2021,1,January,11,Monday
2021-01-12,6574812,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,121,case,40,4840,2021,1,January,12,Tuesday
2021-01-12,6574812,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,225,case,41,9225,2021,1,January,12,Tuesday
2021-01-12,6319579,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,257,case,40,10280,2021,1,January,12,Tuesday
2021-01-12,6319579,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,688,case,44,30272,2021,1,January,12,Tuesday
2021-01-12,6585057,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,352,case,39,13728,2021,1,January,12,Tuesday
2021-01-12,6585057,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,333,case,44,14652,2021,1,January,12,Tuesday
2021-01-12,6585057,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,149,case,40,5960,2021,1,January,12,Tuesday
2021-01-12,6574812,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,161,case,44,7084,2021,1,January,12,Tuesday
2021-01-13,6651244,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,277,case,46,12742,2021,1,January,13,Wednesday
2021-01-13,6651244,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,607,case,47,28529,2021,1,January,13,Wednesday
2021-01-13,6651856,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,104,case,46,4784,2021,1,January,13,Wednesday
2021-01-13,6651856,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,346,case,47,16262,2021,1,January,13,Wednesday
2021-01-13,6651856,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,258,case,39,10062,2021,1,January,13,Wednesday
2021-01-13,6363540,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,116,case,46,5336,2021,1,January,13,Wednesday
2021-01-13,6363540,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,272,case,45,12240,2021,1,January,13,Wednesday
2021-01-13,6363540,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,197,case,43,8471,2021,1,January,13,Wednesday
2021-01-14,6738557,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,87,case,42,3654,2021,1,January,14,Thursday
2021-01-14,6738557,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,105,case,40,4200,2021,1,January,14,Thursday
2021-01-14,6738557,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,269,case,41,11029,2021,1,January,14,Thursday
2021-01-14,6276947,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,150,case,45,6750,2021,1,January,14,Thursday
2021-01-14,6631137,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,230,case,42,9660,2021,1,January,14,Thursday
2021-01-14,6631137,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,637,case,40,25480,2021,1,January,14,Thursday
2021-01-14,6276947,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,295,case,45,13275,2021,1,January,14,Thursday
2021-01-14,6276947,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,101,case,42,4242,2021,1,January,14,Thursday
2021-01-15,6125462,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,316,case,36,11376,2021,1,January,15,Friday
2021-01-15,6125462,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,162,case,41,6642,2021,1,January,15,Friday
2021-01-15,6125462,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,136,case,48,6528,2021,1,January,15,Friday
2021-01-15,6790800,121,South,11829,AVO32CNV2,DMKUT,32,CNV,2,273,case,48,13104,2021,1,January,15,Friday
2021-01-15,6790800,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,649,case,41,26609,2021,1,January,15,Friday
2021-01-15,6739799,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,291,case,42,12222,2021,1,January,15,Friday
2021-01-15,6739799,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,179,case,47,8413,2021,1,January,15,Friday
2021-01-15,6739799,121,South,11829,AVO32CNV2,IEHDJ,32,CNV,2,194,case,48,9312,2021,1,January,15,Friday
2021-01-16,6428545,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,94,case,37,3478,2021,1,January,16,Saturday
2021-01-16,6788251,121,South,11931,AVO48CNV1,DMKUT,48,CNV,1,505,case,46,23230,2021,1,January,16,Saturday
2021-01-16,6428545,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,196,case,46,9016,2021,1,January,16,Saturday
2021-01-16,6428545,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,348,case,46,16008,2021,1,January,16,Saturday
2021-01-16,6366770,121,South,11385,AVO48CNV2,IEHDJ,48,CNV,2,237,case,35,8295,2021,1,January,16,Saturday
2021-01-16,6366770,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,168,case,36,6048,2021,1,January,16,Saturday
2021-01-17,6425832,121,South,11177,AVO32ORG0,OIIJO,32,ORG,0,327,case,44,14388,2021,1,January,17,Sunday
2021-01-17,6942192,131,North,11829,AVO32CNV2,QPDXK,32,CNV,2,130,case,36,4680,2021,1,January,17,Sunday
2021-01-17,6942192,131,North,11931,AVO48CNV1,QPDXK,48,CNV,1,299,case,35,10465,2021,1,January,17,Sunday
2021-01-17,6942192,131,North,11541,AVO60CNV1,QPDXK,60,CNV,1,317,case,43,13631,2021,1,January,17,Sunday
2021-01-17,6279834,131,South,11385,AVO48CNV2,SGTJP,48,CNV,2,127,case,38,4826,2021,1,January,17,Sunday
2021-01-17,6279834,131,South,11829,AVO32CNV2,SGTJP,32,CNV,2,130,case,36,4680,2021,1,January,17,Sunday
2021-01-17,6279834,131,South,11501,AVO32CNV1,SGTJP,32,CNV,1,74,case,38,2812,2021,1,January,17,Sunday
2021-01-17,6746052,131,South,11385,AVO48CNV2,YEXWZ,48,CNV,2,153,case,38,5814,2021,1,January,17,Sunday
2021-01-17,6362175,121,South,11133,AVO60CNV2,IEHDJ,60,CNV,2,211,case,39,8229,2021,1,January,17,Sunday
