Product_ID,Product,Product Category01,Product Category02,Product Category03
11501,AVO32CNV1,32,CNV,
11829,AVO32CNV2,,CNV,2
11177,AVO32ORG0,32,ORG,0
11709,AVO36CNV1,36,CNV,1
11979,AVO36CNV2,36,CNV,2
11768,AVO40CNV1,40,CNV,1
11564,AVO40CNV2,40,CNV,2
11119,AVO40ORG0,40,ORG,0
11931,AVO48CNV1,48,,1
11385,AVO48CNV2,,CNV,2
11474,AVO48ORG0,48,ORG,0
11541,AVO60CNV1,60,CNV,1
11133,AVO60CNV2,,,2
11857,AVO60ORG0,60,ORG,0
11355,AVO70CNV1,70,CNV,1
11261,AVO70CNV2,70,CNV,2
11248,AVO84CNV1,84,,1
11921,AVO84CNV2,,CNV,
11460,AVO84ORG0,84,ORG,0
